delta,alpha1,alpha2,alpha3
0.0,-0.0032978105810275186,0.12597168382304746,2.6662445186942887
0.1,-0.0028608114830344067,0.12032830070932146,1.6191799447609436
0.2,-0.0028608114830344067,0.12032830070932146,1.6191799447609436
0.3,-0.002166248485605998,0.11565032794440017,0.8608285108072936
0.4,-0.0017117855955338453,0.11171789289775388,0.6148329130169129
0.5,-0.0010227831353007495,0.10688231246753478,0.3743743396866104
0.6,-0.00016689522681948883,0.0998208757236869,0.201054145337864
0.7,0.0010885820564683494,0.08694379929247492,0.08061284290992159
0.8,0.0035460584786621285,0.05080494764568084,0.03677641458260605
