time_since_insp,hazard_emp,hazard_flat,hazard_manual
1,0.001066057490957548,0.03060432043535391,0.001066057490957548
2,0.0016007927735640507,0.03060432043535391,0.0016007927735640507
3,0.002137812559648788,0.03060432043535391,0.002137812559648788
4,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
5,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
6,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
7,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
8,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
9,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
10,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
11,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
12,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
13,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
14,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
15,0.0026014767206090517,0.03060432043535391,0.0026014767206090517
16,0.00319351949215251,0.03060432043535391,0.00319351949215251
17,0.003789802695839031,0.03060432043535391,0.003789802695839031
18,0.008588908934034042,0.03060432043535391,0.008588908934034042
19,0.010759919300605245,0.03060432043535391,0.010759919300605245
20,0.014076058703563002,0.03060432043535391,0.014076058703563002
21,0.016994524437233826,0.03060432043535391,0.016994524437233826
22,0.02162072949331573,0.03060432043535391,0.02162072949331573
23,0.02349021592442645,0.03060432043535391,0.02349021592442645
24,0.030878859857482184,0.03060432043535391,0.030878859857482184
25,0.04148841354723708,0.03060432043535391,0.04148841354723708
26,0.04835185271281789,0.03060432043535391,0.04835185271281789
27,0.04835185271281789,0.03060432043535391,0.04835185271281789
28,0.05421470663592109,0.03060432043535391,0.05421470663592109
29,0.05421470663592109,0.03060432043535391,0.05421470663592109
30,0.061555199267063675,0.03060432043535391,0.118
31,0.06620294099701018,0.03060432043535391,0.118
32,0.07579717720857292,0.03060432043535391,0.118
33,0.08752828054298642,0.03060432043535391,0.118
34,0.10444754377808771,0.03060432043535391,0.118
35,0.12545423083578475,0.03060432043535391,0.118
36,0.13751483973090622,0.03060432043535391,0.118
37,0.14257857306721725,0.03060432043535391,0.118
38,0.15210702341137125,0.03060432043535391,0.118
39,0.15872514988955508,0.03060432043535391,0.118
40,0.15872514988955508,0.03060432043535391,0.118
