alpha1,alpha3,delta,time,model_stock,model_effort,real_stock,real_effort
-0.005,0.0,0.0,1,0.016188628333748102,0.016204355395331597,0.0005835301074950924,-9.268560156718652e-5
-0.005,0.0,0.0,2,0.01673561465820071,0.016751642366275243,-0.0004361685242981986,-0.003722888986393038
-0.005,0.0,0.0,3,0.017284743400595323,0.01730107294224858,-0.0025010643076519715,-0.009712280266911351
-0.005,0.0,0.0,4,0.01791513682659504,0.017931812881633556,-0.0018877765490073572,0.0009656708145117902
-0.005,0.0,0.0,5,0.017915228398737444,0.01793190450411192,0.00046294607757100853,0.008858172135269037
-0.005,0.0,0.0,6,0.017915089635200637,0.017931765664298473,-0.00031080924000267214,-0.0016985432484186603
-0.005,0.0,0.0,7,0.01791512619014838,0.01793180223934006,8.341060629976226e-6,0.0002646009479329489
-0.005,0.0,0.0,8,0.017915126419015538,0.017931802468333053,0.0006116741575184706,0.003785284879187656
-0.005,0.0,0.0,9,0.01791513074237306,0.017931806794067008,-0.0013180579912672485,-0.007625927758318684
-0.005,0.0,0.0,10,0.01791510429947722,0.01793178033663585,0.0003534582643444384,0.0062492828059905895
-0.005,0.0,0.0,11,0.017915128958010118,0.017931805008723233,0.0016032062477667338,0.005886080682446792
-0.005,0.0,0.0,12,0.017915175406098337,0.017931851482343483,0.0045953236813773765,0.014808833039055419
-0.005,0.0,0.0,13,0.01791512892500733,0.01793180497570235,0.008419028097674426,0.02116795826780387
-0.005,0.0,0.0,14,0.017915125731987492,0.017931801780927348,0.01069695231772089,0.019471811377116004
-0.005,0.0,0.0,15,0.01791512858070119,0.017931804631206964,0.011737573732935293,0.01840149627865301
-0.005,0.0,0.0,16,0.01836737064275554,0.018384295288731936,0.015366876634910692,0.026884571751505378
-0.005,0.0,0.0,17,0.01957660149869688,0.019594190886860544,0.01974350394295514,0.036387715255927974
-0.005,0.0,0.0,18,0.025284438836745877,0.025305166648725237,0.02592288557989228,0.04599948419346073
-0.005,0.0,0.0,19,0.027284463577112693,0.02730629138126319,0.03192001492753405,0.05436415512454066
-0.005,0.0,0.0,20,0.030084418040187428,0.030107786060534374,0.031754232554886436,0.04015622432651138
-0.005,0.0,0.0,21,0.03295420205215084,0.03297914904628568,0.03619637262639698,0.04945758684026005
-0.005,0.0,0.0,22,0.03780864618845222,0.037836264978851286,0.03973465839657034,0.05769531935054441
-0.005,0.0,0.0,23,0.03969656683410898,0.0397252250062784,0.04475348883937431,0.06459730045776037
-0.005,0.0,0.0,24,0.04701150022252281,0.047044187325416334,0.0499089809071514,0.07395444440404267
-0.005,0.0,0.0,25,0.057905456471341946,0.057944149459235504,0.05555756257616947,0.07019033842802969
-0.005,0.0,0.0,26,0.06506404023597964,0.06510668395216522,0.05963539719165671,0.07555623429454736
-0.005,0.0,0.0,27,0.06506400855049951,0.06510665224919035,0.06615438364004268,0.09553719961518657
-0.005,0.0,0.0,28,0.07130418836750697,0.07135027892614307,0.07424048214659734,0.10347070667938538
-0.005,0.0,0.0,29,0.07141191250718547,0.07145806259466976,0.07960637351208807,0.1114691548235635
-0.005,0.0,0.0,30,0.13219822799514394,0.1322781448536539,0.0839268033428647,0.11396370432948526
-0.005,0.0,0.0,31,0.1321982772638917,0.13227819414994021,0.09009674057721202,0.1290830827750107
-0.005,0.0,0.0,32,0.13219822014017216,0.1322781369942915,0.09389863305789213,0.1412570465447185
-0.005,0.0,0.0,33,0.13219833981697365,0.13227825673798607,0.09142516845975399,0.1193512261818309
-0.005,0.0,0.0,34,0.13219822798884925,0.13227814484735562,0.09109175823699242,0.11299083983141193
-0.005,0.0,0.0,35,0.13219820751005168,0.13227812435711137,0.1048969914713631,0.13890670062927293
-0.005,0.0,0.0,36,0.1321982279740279,0.13227814483252587,0.10770194454161128,0.13468309326821862
-0.005,0.0,0.0,37,0.13219826711461571,0.13227818399499114,0.11558889414079584,0.14072512723881314
-0.005,0.0,0.0,38,0.13219821530260112,0.1322781321540166,0.11362786350832572,0.11496396449484836
-0.005,0.0,0.0,39,0.1321982279619703,0.13227814482046163,0.11277691300813211,0.12139671427935732
-0.005,0.0,0.0,40,0.13219822798548256,0.132278144843987,0.11084631026285023,0.11278313806108277
-0.005,0.0,0.0,41,0.13219822798607,0.1322781448445748,0.09727754952923834,0.11273582681209773
-0.005,0.0,0.0,42,0.13219818824993737,0.13227810508623178,0.08465452119740564,0.10066584975621005
-0.005,0.0,0.0,43,0.1321982943601873,0.1322782112557917,0.0954151435510351,0.12505421326364685
-0.005,0.0,0.0,44,0.1321983400710796,0.13227825699223386,0.0918025128330191,0.12975129622529083
-0.005,0.0,0.0,45,0.13219824418344003,0.13227816105099835,0.09996340782862714,0.13098197798692954
