alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.005,-0.05,1,0.004740872365748413,0.03292997902923829,-0.0016119475556586923,1.9444019386073857e-5
-0.005,-0.05,2,0.01085252059662712,0.030216483843266768,-0.002159836382695989,-0.003628047446808362
-0.005,-0.05,3,0.015071957334144044,0.028457926635817386,-0.003802357045879357,-0.009781149117063138
-0.005,-0.05,4,0.017983115771653,0.027235416769283757,-0.0029279791053400616,0.0007957307527190494
-0.005,-0.05,5,0.01993396347799014,0.02615134508978723,-0.0002776824049067208,0.008904643438812497
-0.005,-0.05,6,0.021248658612809265,0.025455603387566743,-0.0009811304996678331,-0.0018127599892611567
-0.005,-0.05,7,0.02214572531071797,0.02503292292511738,-0.0008042557437489253,-9.122812402837229e-5
-0.005,-0.05,8,0.022774470825395833,0.024813898401344493,0.0001255306201194985,0.003686639722311078
-0.005,-0.05,9,0.023239842877346404,0.024763333012800096,-0.0017639264112091874,-0.00762689110394796
-0.005,-0.05,10,0.023619956643776294,0.024874612779437925,-0.00034929899827838146,0.006066943704524169
-0.005,-0.05,11,0.023979256710666953,0.02516908876048859,0.000779977788634285,0.005894351184784294
-0.005,-0.05,12,0.024379409647319585,0.025699817576312275,0.003974346345024528,0.014782916764164999
-0.005,-0.05,13,0.024889933094484867,0.026561388849908635,0.007972203469334235,0.021433118692904915
-0.005,-0.05,14,0.025600255660447702,0.027906552669290735,0.01024571488857211,0.01942619768696443
-0.005,-0.05,15,0.02663541894925482,0.029973502526463962,0.011421334661787616,0.018201524821749165
-0.005,-0.05,16,0.028178063171187023,0.03312782523316349,0.015365272857791898,0.027172973005234913
-0.005,-0.05,17,0.030404914499278044,0.03752805269879151,0.019757643642576157,0.0363866628900798
-0.005,-0.05,18,0.03345604953458918,0.043198627851985964,0.02607724319907534,0.046058111709083326
-0.005,-0.05,19,0.036682807657180065,0.04699127082252744,0.032067985928988324,0.054448325080729255
-0.005,-0.05,20,0.040246617341864875,0.051633179713929916,0.03175296343224757,0.04047125673083545
-0.005,-0.05,21,0.044216763882507774,0.056902064409321294,0.036493846558845626,0.04982503812886209
-0.005,-0.05,22,0.0487376399007683,0.06318059628426417,0.0397829161469858,0.05783672526985862
-0.005,-0.05,23,0.05367304990893037,0.06944364520059922,0.0451193176028545,0.06457259233733582
-0.005,-0.05,24,0.059584226936568944,0.0784626674089817,0.05000662439262597,0.07386739767118075
-0.005,-0.05,25,0.06618430036309664,0.0872642729710971,0.055842910580694044,0.07009395755647525
-0.005,-0.05,26,0.07266089953370057,0.09336955745177408,0.05955152251330182,0.07558314835568365
-0.005,-0.05,27,0.07893022433392882,0.09900160950959251,0.06614221137394524,0.09538653648673306
-0.005,-0.05,28,0.08628996070951123,0.10983676209666773,0.07429561491603079,0.10345099524745932
-0.005,-0.05,29,0.09518809706179536,0.12363367984121429,0.07982548432653046,0.11143998274544732
-0.005,-0.05,30,0.1076193041798866,0.14729095512198073,0.08464408120857476,0.11380758474033985
-0.005,-0.04,1,0.004043463266499054,0.03002205480561196,-0.0016119475556586923,1.9444019386073857e-5
-0.005,-0.04,2,0.009889666840247242,0.028410404886395745,-0.002159836382695989,-0.003628047446808362
-0.005,-0.04,3,0.014072021116046773,0.027337857062814705,-0.003802357045879357,-0.009781149117063138
-0.005,-0.04,4,0.01706017339903325,0.026553864077436,-0.0029279791053400616,0.0007957307527190494
-0.005,-0.04,5,0.01914708179144326,0.025793355193281672,-0.0002776824049067208,0.008904643438812497
-0.005,-0.04,6,0.020614417415562226,0.025303254558128735,-0.0009811304996678331,-0.0018127599892611567
-0.005,-0.04,7,0.021660359151319118,0.02501800143707121,-0.0008042557437489253,-9.122812402837229e-5
-0.005,-0.04,8,0.022426399446272442,0.024900033992276208,0.0001255306201194985,0.003686639722311078
-0.005,-0.04,9,0.023016519782702728,0.02493487603924893,-0.0017639264112091874,-0.00762689110394796
-0.005,-0.04,10,0.023511339322921883,0.02512941645046799,-0.00034929899827838146,0.006066943704524169
-0.005,-0.04,11,0.02397912095411509,0.025512999899571696,0.000779977788634285,0.005894351184784294
-0.005,-0.04,12,0.02448520583133973,0.026141915054528904,0.003974346345024528,0.014782916764164999
-0.005,-0.04,13,0.02510116107845449,0.027107662425546686,0.007972203469334235,0.021433118692904915
-0.005,-0.04,14,0.025914901230459954,0.028550190387267697,0.01024571488857211,0.01942619768696443
-0.005,-0.04,15,0.02704325187699065,0.030678230736815585,0.011421334661787616,0.018201524821749165
-0.005,-0.04,16,0.028648726657170616,0.03379946888258514,0.015365272857791898,0.027172973005234913
-0.005,-0.04,17,0.030885286155928705,0.03804124798567418,0.019757643642576157,0.0363866628900798
-0.005,-0.04,18,0.033870429992171054,0.04340596492371562,0.02607724319907534,0.046058111709083326
-0.005,-0.04,19,0.037072723635965955,0.047305619763603785,0.032067985928988324,0.054448325080729255
-0.005,-0.04,20,0.040623559131735605,0.051970954656048514,0.03175296343224757,0.04047125673083545
-0.005,-0.04,21,0.044582058134290635,0.05723241656948829,0.036493846558845626,0.04982503812886209
-0.005,-0.04,22,0.049069243998950504,0.06340742105833072,0.0397829161469858,0.05783672526985862
-0.005,-0.04,23,0.05397714298779838,0.06966251452231803,0.0451193176028545,0.06457259233733582
-0.005,-0.04,24,0.05976383457326824,0.07824967333141884,0.05000662439262597,0.07386739767118075
-0.005,-0.04,25,0.06618884375855247,0.08671561209652505,0.055842910580694044,0.07009395755647525
-0.005,-0.04,26,0.0725799392048123,0.09301883578820147,0.05955152251330182,0.07558314835568365
-0.005,-0.04,27,0.07886777987148304,0.09899894912368432,0.06614221137394524,0.09538653648673306
-0.005,-0.04,28,0.08611657601920963,0.10931299127957057,0.07429561491603079,0.10345099524745932
-0.005,-0.04,29,0.09468577294494132,0.12208977218566332,0.07982548432653046,0.11143998274544732
-0.005,-0.04,30,0.10614737961587631,0.14274592067201056,0.08464408120857476,0.11380758474033985
-0.005,-0.03,1,0.0034972680727609995,0.027744634204957885,-0.0016119475556586923,1.9444019386073857e-5
-0.005,-0.03,2,0.009110487294751609,0.026891278317902882,-0.002159836382695989,-0.003628047446808362
-0.005,-0.03,3,0.013237370725660069,0.02632524577712822,-0.003802357045879357,-0.009781149117063138
-0.005,-0.03,4,0.016267232222137988,0.025890855617281536,-0.0029279791053400616,0.0007957307527190494
-0.005,-0.03,5,0.01845137510698124,0.025403743206327205,-0.0002776824049067208,0.008904643438812497
-0.005,-0.03,6,0.020037975921317258,0.025103067825009616,-0.0009811304996678331,-0.0018127599892611567
-0.005,-0.03,7,0.021207450853623487,0.024955265782589928,-0.0008042557437489253,-9.122812402837229e-5
-0.005,-0.03,8,0.02209306416351066,0.0249447146674157,0.0001255306201194985,0.003686639722311078
-0.005,-0.03,9,0.022796127120568485,0.025071861769264864,-0.0017639264112091874,-0.00762689110394796
-0.005,-0.03,10,0.023397612177166634,0.025353526570805016,-0.00034929899827838146,0.006066943704524169
-0.005,-0.03,11,0.023967502832290304,0.02582511111611373,0.000779977788634285,0.005894351184784294
-0.005,-0.03,12,0.02457291782147163,0.026544868978700252,0.003974346345024528,0.014782916764164999
-0.005,-0.03,13,0.02528607300193718,0.02760137817671431,0.007972203469334235,0.021433118692904915
-0.005,-0.03,14,0.02619285562628581,0.02912408124279273,0.01024571488857211,0.01942619768696443
-0.005,-0.03,15,0.027403231928492568,0.031299530253879444,0.011421334661787616,0.018201524821749165
-0.005,-0.03,16,0.029064545301204947,0.03439387920553852,0.015365272857791898,0.027172973005234913
-0.005,-0.03,17,0.03131425856155646,0.03851372208864603,0.019757643642576157,0.0363866628900798
-0.005,-0.03,18,0.034254677705262096,0.04365034773485111,0.02607724319907534,0.046058111709083326
-0.005,-0.03,19,0.037437162662133254,0.0476090887557722,0.032067985928988324,0.054448325080729255
-0.005,-0.03,20,0.04097296228741291,0.05227451596608268,0.03175296343224757,0.04047125673083545
-0.005,-0.03,21,0.04491382535352956,0.05751012133044655,0.036493846558845626,0.04982503812886209
-0.005,-0.03,22,0.04936384415380902,0.06358607228729483,0.0397829161469858,0.05783672526985862
-0.005,-0.03,23,0.05423368755935881,0.06980026261105816,0.0451193176028545,0.06457259233733582
-0.005,-0.03,24,0.05990905476315839,0.0780438367005551,0.05000662439262597,0.07386739767118075
