delta,time,model_stock,model_effort,real_stock,real_effort,adj_cost,linear_cost,q_cost
0.0,1,-0.0036691843856090614,-0.0036715307467813834,0.00105117880929632,-9.268560156718652e-5,0.9125102878064947,2.7692176457143312e-5,0.04312212911839242
0.0,2,0.00025170532163661444,0.00025029095641286277,-0.0013152766353371746,-0.003722888986393038,2.4227926761723593,5.389439576068888e-6,0.07135589605994819
0.0,3,0.0035072828313915745,0.003506443461783886,-0.0052032074876604,-0.009712280266911351,3.4085222080962407,-5.142605029706651e-6,0.08977564267545575
0.0,4,0.006216092531580689,0.0062155636984571,-0.002469060087256786,0.0009656708145117902,4.051659318714585,-1.3763565205765864e-5,0.10177609472990451
0.0,5,0.00847335190486964,0.008473194892684574,0.003149412806770551,0.008858172135269037,4.471674226976684,-2.0942188136725193e-5,0.10961132780108686
0.0,6,0.010376807791597829,0.010377122427418313,0.0007196810000091569,-0.0016985432484186603,4.745958874562565,-2.6931418923848543e-5,0.1147293010780112
0.0,7,0.012013652501427175,0.012014509709354049,0.0008649493199744635,0.0002646009479329489,4.925087466285412,-3.198691151044021e-5,0.11807320907615754
0.0,8,0.013459473618414783,0.013460917365401307,0.0022214235508583027,0.003785284879187656,5.0421240608947,-3.633783907182947e-5,0.12025932936007037
0.0,9,0.01478173896042604,0.014783801132862632,-0.0024123994844817967,-0.007625927758318684,5.11828239726221,-4.2935631767107604e-5,0.12167482786907892
0.0,10,0.01604293794940912,0.01604565217099932,0.0017283236483498108,0.0062492828059905895,5.168467061382687,-4.643627056896745e-5,0.1226143818234646
0.0,11,0.01730351038811943,0.017306922878093076,0.0035297768797967473,0.005886080682446792,5.201559234541871,-4.978218063638915e-5,0.12323522743248493
0.0,12,0.01862468851729557,0.01862886674641471,0.009019408909841101,0.014808833039055419,5.223673921183225,-5.313146672271837e-5,0.12365156559009308
0.0,13,0.020071538337563765,0.020076578647580095,0.015427098913568747,0.02116795826780387,5.238903456955715,-5.664538855951447e-5,0.12393993082750844
0.0,14,0.021716064148131726,0.02172209917024235,0.017152341946225547,0.019471811377116004,5.250074739418085,-6.0496042592188936e-5,0.12415332448145894
0.0,15,0.02364085742283657,0.02364806413313396,0.01753468448839314,0.01840149627865301,5.25927423488085,-6.487436646980261e-5,0.124331031236201
0.0,16,0.025943222523552207,0.025951831432410484,0.02290863482972305,0.026884571751505378,5.2715236046873954,-7.612497521137874e-5,0.12467222858743464
0.0,17,0.028707839138754406,0.028718127553701005,0.029243031805064473,0.036387715255927974,5.2854796498603855,-8.48067185822569e-5,0.12504916270655678
0.0,18,0.032038241052518596,0.03205054254892431,0.038262336594180296,0.04599948419346073,5.298865892463259,-9.286850721704874e-5,0.12531743246299928
0.0,19,0.035755289215768045,0.03576983917194101,0.04608773739149015,0.05436415512454066,5.317493253340221,-0.0001045385357435962,0.12570822774590776
0.0,20,0.039893815036199605,0.03991086723051946,0.04162562282149984,0.04015622432651138,5.338100332248881,-0.00011574343591197529,0.12615514608787795
0.0,21,0.04449767637314408,0.044517507941801586,0.04656917930017382,0.04945758684026005,5.362334663331179,-0.00013183120724991502,0.12673329984001327
0.0,22,0.04963350508021277,0.04965642830241828,0.05163051227270508,0.05769531935054441,5.391421720714726,-0.00015028610607616724,0.12747575338508074
0.0,23,0.055280373395819586,0.05530668795195875,0.05813504759483227,0.06459730045776037,5.435385737114682,-0.00017434864177842243,0.12883726795473313
0.0,24,0.06162734637741332,0.0616574497427759,0.06488819664339028,0.07395444440404267,5.477193059753123,-0.00019772877721671323,0.13000669772921233
0.0,25,0.06858216929351235,0.06861640408369132,0.06865168831882774,0.07019033842802969,5.516757554071558,-0.00021536591938866174,0.1308459812381046
0.0,26,0.07587857989126068,0.07591714217336845,0.07203298249794736,0.07555623429454736,5.593738769949376,-0.00024899764090873655,0.1333718367807909
0.0,27,0.0834837081285557,0.08352677212168319,0.08384849511312348,0.09553719961518657,5.642709018226203,-0.0002685020403959557,0.13447704519455297
0.0,28,0.09180991472731245,0.09185786077448452,0.09363410455000698,0.10347070667938538,5.714341293626688,-0.00030516659920523534,0.13673575627321818
0.0,29,0.10098631427057181,0.10103957138647757,0.10051007048269535,0.1114691548235635,5.796185180048408,-0.0003427971849362317,0.13922357392746038
0.0,30,0.11154883357089886,0.11160806352791884,0.10449742379252559,0.11396370432948526,5.910843960115068,-0.0003857028054778985,0.1429292645700029
0.0,31,0.12044542145622768,0.12050972727567585,0.11330503034964279,0.1290830827750107,6.014447817208106,-0.0004152163922608209,0.14522514221147448
0.0,32,0.12793779263155303,0.1280064095789354,0.12062000095005083,0.1412570465447185,6.08794045951763,-0.00044004695717188335,0.14690608337191952
0.0,33,0.13424683853647998,0.13431911446406367,0.11425975930320448,0.1193512261818309,6.140088823410199,-0.00046094026876795506,0.14814285977036512
0.0,34,0.13955893407024303,0.13963431289902115,0.1105658836433257,0.11299083983141193,6.177103964466639,-0.00047852199085528365,0.14905774486967707
0.0,35,0.14403123611370441,0.1441092440004785,0.12519367236989581,0.13890670062927293,6.2033872463006325,-0.0004933177198711346,0.14973848020778188
0.0,36,0.14779625316914663,0.14787648677662762,0.126718830829864,0.13468309326821862,6.222058021689658,-0.0005057692284601554,0.1502481765531472
0.0,37,0.1509656552649285,0.15104777166724753,0.13423983475662069,0.14072512723881314,6.235327615782803,-0.0005162481013753143,0.15063235658625754
0.0,38,0.15363353296951512,0.1537172409530654,0.12407830506550178,0.11496396449484836,6.2447639423258225,-0.0005250669107226827,0.15092395719424487
