alpha1,delta,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.003,0.55,0.03918393645226554,0.03924765748949992,0.1421143145748226,1304.323495059947,1293.1244773434903,-11.199017716456698
-0.003,0.6,0.04022614798794456,0.04028216274166397,0.14218274734492592,1346.7951021213778,1327.209162878458,-19.58593924292004
-0.003,0.65,0.041630800114715684,0.04169298966262911,0.14199900328795056,1404.5924252098657,1373.6928243627967,-30.89960084706926
-0.003,0.7,0.043391957917069596,0.0435119163020918,0.14185614236242888,1480.2037971548882,1433.6224790335398,-46.581318121348446
-0.003,0.75,0.045570646805115696,0.04568951694778551,0.1416886220984524,1575.2267283203335,1505.3696577684457,-69.85707055188767
-0.003,0.8,0.048648877517159926,0.04881795021222671,0.14138514766927632,1714.8214663402086,1608.4446917642153,-106.37677457599312
-0.003,0.85,0.05294390914888878,0.053280903042859463,0.14082775988399754,1924.8561419014816,1755.4892267932066,-169.36691510827504
-0.003,0.9,0.059597184109599834,0.06020546794094668,0.13956057729120028,2273.9043118608756,1983.638495754436,-290.2658161064397
-0.003,0.95,0.04382898373983102,0.04489329038175098,0.08951519107585346,1882.6075117953853,1479.1357338119433,-403.47177798344217
-0.002,0.0,0.03271022303004036,0.03273158291740973,0.14459436674214182,1055.337397237008,1078.4340712314922,23.09667399448423
-0.002,0.05,0.03252260733326273,0.0325496924589757,0.14277154361007846,1051.1039538362572,1072.4411784312226,21.33722459496552
-0.002,0.1,0.03262129976070244,0.03263896153575798,0.14221203571791022,1055.636155552434,1075.382399274477,19.746243722043072
-0.002,0.15,0.03289035300822165,0.032908608056472666,0.1421797167546787,1066.179443651173,1084.2666623992238,18.087218748051033
-0.002,0.2,0.03320623433913311,0.033232014706915204,0.14213535511442538,1078.7298888637301,1094.922204221938,16.19231535820792
-0.002,0.25,0.03354634508638987,0.033586001745577174,0.14202658938450607,1092.5840744482368,1106.5853029553743,14.00122850713749
-0.002,0.3,0.03392612415532402,0.03396507468887607,0.1419724297444415,1107.610764042111,1119.0749273822487,11.46416334013761
-0.002,0.35,0.0343621833565882,0.03439794737293481,0.1420137559106807,1124.8210871791446,1133.3371356039618,8.516048424817004
-0.002,0.4,0.03482898232126908,0.03486601159543849,0.1420894154549216,1143.7372740346893,1148.758828051471,5.021554016781671
-0.002,0.45,0.03541303060731101,0.03545408243295758,0.142170946995807,1167.340728852823,1168.1344760022123,0.7937471493891926
-0.002,0.5,0.03611229263757367,0.03614689524534446,0.14224338825883318,1195.4378351638795,1190.961142947987,-4.476692215892614
-0.002,0.55,0.03692020552450315,0.03698091004070192,0.14211432812951502,1229.5898709855348,1218.4401064155998,-11.149764569935044
-0.002,0.6,0.03790056702278269,0.037952848795710564,0.14218272411822272,1270.1887414680943,1250.4633627059068,-19.72537876218752
-0.002,0.65,0.03923715570482333,0.039294890825462454,0.14199899863709214,1325.999812843807,1294.6807124613717,-31.319100382435014
-0.002,0.7,0.04090793310682107,0.041021963279571,0.1418563154470715,1398.992193667447,1351.5839726152024,-47.40822105224472
-0.002,0.75,0.04296640067938295,0.04307741082863859,0.14168861059325127,1490.67157906693,1419.3064739722854,-71.36510509464452
-0.002,0.8,0.04588499318697601,0.04604257175550686,0.14138515306223626,1626.10266536357,1517.002041531233,-109.10062383233715
-0.002,0.85,0.049951988811285875,0.05027119543974436,0.14082779342315352,1830.7409872501748,1656.325943678127,-174.41504357204767
-0.002,0.9,0.05630032621749348,0.05687373488189057,0.13956050014108953,2173.987901047557,1873.8651781547142,-300.1227228928428
-0.002,0.95,0.039560242501940186,0.04051987783705082,0.08530002384912935,1730.5723415887499,1335.0413553745586,-395.53098621419144
-0.001,0.0,0.030640869056455678,0.03066106233240059,0.14463068086240363,986.4228409214917,1010.2149463057517,23.79210538425997
-0.001,0.05,0.030458518466251115,0.030484380184419495,0.14278288097771344,982.4003217792263,1004.3936559440247,21.993334164798306
-0.001,0.1,0.030545258604930244,0.03056172565280712,0.14221204512884503,986.566758496823,1006.942019968308,20.37526147148506
-0.001,0.15,0.030795883660718074,0.03081287919665272,0.14217972294435152,996.5244699874095,1015.2169799504471,18.69250996303755
-0.001,0.2,0.03109200590421513,0.031116380020085054,0.1421353614115537,1008.4474573031698,1025.2166683083892,16.76921100521954
-0.001,0.25,0.03141114396480222,0.03144915039714807,0.14202659177790106,1021.6368806038516,1036.1807244442268,14.543843840375152
-0.001,0.3,0.03176617583790727,0.031803246950238076,0.141972450918874,1035.8824655550497,1047.8474314385528,11.964965883502828
-0.001,0.35,0.03217215901234543,0.0322058471163194,0.14201378295943287,1052.1453075879201,1061.1122264006874,8.966918812767357
-0.001,0.4,0.032603200677975355,0.03263800872982435,0.14208940598955247,1069.9394211426609,1075.3510064028064,5.411585260145556
-0.001,0.45,0.033146464129122484,0.03318504386591271,0.14217095395785878,1092.267760360403,1093.3746177388978,1.1068573784947855
-0.001,0.5,0.03379876503959361,0.0338304140155244,0.1422433950820311,1118.9069315165234,1114.6381527061242,-4.268778810399032
-0.001,0.55,0.03455464867086362,0.03461217846952898,0.14211431671069358,1151.4797341886194,1140.39558170073,-11.084152487889606
-0.001,0.6,0.03546634942884198,0.03551472553969907,0.14218285578613127,1189.9887854820008,1170.132533739303,-19.85625174269784
-0.001,0.65,0.036726457907232946,0.036779524734308656,0.14199915375450423,1243.5473761912053,1211.8049010114528,-31.742475179752496
-0.001,0.7,0.038295103484157766,0.038402927356117236,0.14185630388437154,1313.5522157093906,1265.2924669230206,-48.25974878636999
-0.001,0.75,0.04021657402766725,0.040319313077315524,0.14168843768506806,1401.3698906431305,1328.4331851882075,-72.93670545492286
-0.001,0.8,0.042950037062900556,0.04309539282712057,0.141385463299298,1531.8692180282321,1419.8989414945781,-111.97027653365383
-0.001,0.85,0.04674503588818012,0.04704517165132681,0.140828214867707,1729.832224370078,1550.0355153535534,-179.79670901652474
-0.001,0.9,0.05145294377372052,0.051975078916077236,0.1363202427928631,2016.3048911100916,1712.4651777299075,-303.8397133801839
-0.001,0.95,0.035138086573486604,0.03598873730668752,0.08094119699305874,1572.921818335072,1185.7501847699561,-387.17163356511566
0.0,0.0,0.02849209854003234,0.028511038556491085,0.1446683596524202,914.8530771581989,939.3763651179986,24.523287959799724
0.0,0.05,0.028315225045459164,0.02833981076182896,0.1427946356115746,911.0502306731595,933.7347837691406,22.68455309598118
0.0,0.1,0.028389063716630178,0.02840427992505364,0.142212037706922,914.8199324895388,935.8589016995417,21.038969210002673
0.0,0.15,0.028619575456903818,0.028635267736331647,0.14217974164399,924.1372160936095,943.4694448972217,19.33222880361225
0.0,0.2,0.028894076120840922,0.028917009669455235,0.14213539861585994,935.3720236146004,952.7522254074637,17.380201792863286
0.0,0.25,0.02919021422802371,0.029226506874879998,0.14202658504816937,947.8301294788606,962.949481437616,15.11935195875554
0.0,0.3,0.02951809459566681,0.02955323544686166,0.14197244171424012,961.2165839341324,973.7144733098065,12.497889375674191
0.0,0.35,0.02989116881749218,0.029922707898416733,0.1420137642118383,976.4393187894666,985.8877825305615,9.448463741094914
0.0,0.4,0.030283061348909204,0.03031556945099002,0.14208939413135527,993.0009170932746,998.8317114765275,5.830794383252727
0.0,0.45,0.030781529994754184,0.030817555763922606,0.14217094353195278,1013.9238208648866,1015.3710626140621,1.4472417491754892
0.0,0.5,0.03138211082313026,0.03141066958680687,0.14224340028317567,1038.9500174061627,1034.91286590328,-4.037151502882768
0.0,0.55,0.03208021443163714,0.0321344152430067,0.1421143028467353,1069.7593447582415,1058.7587024007425,-11.000642357498664
0.0,0.6,0.03291572556950462,0.03295997354781114,0.1421828508942396,1105.9361785769756,1085.959042999476,-19.977135577499602
0.0,0.65,0.034089888415954346,0.03413805648426782,0.14199916358306802,1156.9434248245411,1124.774299219045,-32.169125605496106
0.0,0.7,0.03554319813845325,0.03564450250630266,0.14185631336230242,1223.5444569933134,1174.4084009590315,-49.136056034281864
0.0,0.75,0.037308590778422225,0.03740260233290805,0.1416886716543929,1306.9097415623503,1232.3339451779443,-74.5757963844059
0.0,0.8,0.03982763382306829,0.039959972526514384,0.14138544586572493,1431.5901134759492,1316.5936999382313,-114.9964135377179
0.0,0.85,0.04329901498842923,0.04357866533184712,0.1408282355752954,1621.3657026158585,1435.8217135799232,-185.54398903593537
0.0,0.9,0.04639900594571031,0.046867475846546845,0.13294421826054423,1851.884449169236,1544.1808272172314,-307.70362195200454
0.0,0.95,0.030553330333607,0.031290365116430276,0.07642983403004658,1409.3302644030152,1030.9490967173244,-378.38116768569074
0.001,0.0,0.02625923360665563,0.026276916198114147,0.14470744444872127,840.4718846901588,865.7669195664904,25.295034876331588
0.001,0.05,0.026088092051014478,0.02611134016930533,0.14280684136274896,836.8974349792712,860.3115515417543,23.414116562483013
0.001,0.1,0.026147968814910612,0.026161887685599,0.1422120887842071,840.2369876590577,861.9769816532395,21.73999399418178
0.001,0.15,0.026356523792431072,0.026370875486557872,0.14217979100133332,848.8535414683824,868.8626726262208,20.009131157838368
0.001,0.2,0.026607397576067875,0.02662882130088561,0.14213535406892205,859.333830183645,877.361423065651,18.02759288200601
0.001,0.25,0.02687829587974922,0.026912794541420537,0.1420265839328675,870.9865950901794,886.717720275096,15.731125184916525
0.001,0.3,0.027176414091015618,0.027209527261657023,0.14197249208932775,883.4286884574502,896.4944144349749,13.065725977524592
0.001,0.35,0.027513457467309328,0.027542752110933155,0.14201376900074156,897.509458637532,907.4734444362773,9.96398579874532
0.001,0.4,0.027862491321597852,0.027892575657214702,0.1420893714492513,912.7173160857938,918.9993652015816,6.282049115787702
0.001,0.45,0.02831172436711515,0.02834506461321038,0.14217099604135924,932.0907850112815,933.9078866816764,1.81710167039481
0.001,0.5,0.028855268975815827,0.028880587411975894,0.1422434924356696,955.3317822592192,951.5521916811387,-3.779590578080491
0.001,0.55,0.029489217658156524,0.02953993196501416,0.14211440938743053,984.1720193419465,973.2761526784286,-10.89586666351782
0.001,0.6,0.030240094510970043,0.03028002642871109,0.14218286026570592,1017.7465381459556,997.6606466271168,-20.085891518838885
0.001,0.65,0.03131776143117579,0.03136076041315493,0.1419991631553938,1065.866250441258,1033.2684677857471,-32.59778265551076
0.001,0.7,0.03264081962888395,0.03273525017345859,0.14185634875392933,1128.5922589960544,1078.5548992977976,-50.037359698256736
0.001,0.75,0.0342284570031671,0.034313201273700356,0.14168867432957843,1206.8314474885203,1130.5449369788903,-76.28651050963
0.001,0.8,0.036499207774361504,0.036617686986565715,0.1413854482861347,1324.6645256332151,1206.472701171997,-118.19182446121842
0.001,0.85,0.03958614931659135,0.03984371798403803,0.14082820840078153,1504.4595852577243,1312.7633670191587,-191.6962182385656
0.001,0.9,0.04112496826466333,0.041537350929330405,0.1294239776382801,1680.2854597419803,1368.5648684916691,-311.720591250311
0.001,0.95,0.025796144335554928,0.026414723255767734,0.07175696843515493,1239.4472922489915,870.3073607240353,-369.13993152495624
