alpha1,alpha2
-0.005,0.12329012817663194
-0.004,0.11947761873314038
-0.003,0.11566509654065055
-0.002,0.1118525743481607
-0.001,0.1080400399611303
0.0,0.1042275055740999
0.001,0.10041496207443668
0.002,0.09660241857477345
0.003,0.09278985424698005
0.004,0.08897728991918667
0.005,0.08516468499499022
