alpha1,alpha3,alpha2,time,model_stock,model_effort,real_stock,real_effort
-0.05,0.0,-0.75,1,-6.2827886895871305,-7.61088196893474,-0.004568752294836003,5.716381843426399e-6
-0.05,0.0,-0.75,2,6.264565042172658,8.699486101252276,-0.0038803397524769957,-0.0037323076021555995
-0.05,0.0,-0.75,3,-6.282788688758823,-8.717709747464463,-0.008782860606266731,-0.009834181146809772
-0.05,0.0,-0.75,4,6.264565041344353,8.69948610010249,-0.0007456891437636338,0.0009238260792855143
-0.05,0.0,-0.75,5,-6.28278868793052,-8.717709746314679,0.0071273613772085635,0.00850368403005451
-0.05,0.0,-0.75,6,6.264565040516048,8.69948609895271,-0.0008088279774468356,-0.0018996742445814448
-0.05,0.0,-0.75,7,-6.2827886871022125,-8.71770974516489,0.00023461169390705383,0.0002063901309663494
-0.05,0.0,-0.75,8,6.264565039687742,8.699486097802923,0.0027678001323927924,0.0034253421872396973
-0.05,0.0,-0.75,9,-6.282788686273909,-8.717709744015107,-0.006225557602431054,-0.007852683595957343
-0.05,0.0,-0.75,10,6.264565038859435,8.69948609665314,0.0039946150758251074,0.006378431137080619
-0.05,0.0,-0.75,11,-6.282788685445601,-8.71770974286532,0.005272069715238609,0.005701526986742164
-0.05,0.0,-0.75,12,6.2645650380311295,8.699486095503348,0.013313128575608027,0.015135576405529625
-0.05,0.0,-0.75,13,-6.282788684617295,-8.717709741715534,0.020244112207139613,0.021272938595774914
-0.05,0.0,-0.75,14,6.264565037202823,8.699486094353569,0.01914055762919699,0.01928584312634013
-0.05,0.0,-0.75,15,-6.282788683788991,-8.71770974056575,0.017773719952877125,0.018175805623063684
-0.05,0.0,-0.75,16,6.264565036374518,8.699486093203783,0.025744600733368136,0.026757167712039814
-0.05,0.0,-0.75,17,-6.282788682960684,-8.717709739415964,0.034048869114525614,0.03616361216248518
-0.05,0.0,-0.75,18,6.264565035546211,8.699486092053993,0.043908206950852804,0.04620750152695152
-0.05,0.0,-0.75,19,-6.2827886821601195,-8.717709738299789,0.05248264480644486,0.05456623825735228
-0.05,0.0,-0.75,20,6.264565034745645,8.699486090942722,0.041202381817885575,0.040383307055307884
-0.05,0.0,-0.75,21,-6.282788681359554,-8.71770973718851,0.048448970857107025,0.04979131024507424
-0.05,0.0,-0.75,22,6.264565033836301,8.699486089699642,0.05601685658046113,0.05800276555296405
-0.05,0.0,-0.75,23,-6.28278868045021,-8.717709735926235,0.06293522414215141,0.06451800712575546
-0.05,0.0,-0.75,24,6.264565032926956,8.69948608843736,0.07178014827478064,0.07394411807951742
-0.05,0.0,-0.75,25,-6.282788679585282,-8.71770973471778,0.07006970722816633,0.06996409709805256
-0.05,0.0,-0.75,26,6.264565032062031,8.699486087236743,0.07361466847757442,0.07514916461629062
-0.05,0.0,-0.75,27,-6.282788678720355,-8.717709733517161,0.09177321591251203,0.09553874919311536
-0.05,0.0,-0.75,28,6.2645650311971055,8.69948608603612,0.10113457145635579,0.10331952838712062
-0.05,0.0,-0.75,29,-6.282788677855431,-8.717709732316543,0.10836240423101048,0.11168349568188096
-0.05,0.0,-0.75,30,6.264565027629091,8.699486081560314,0.1116657448670941,0.11378287062604893
-0.05,0.0,-0.75,31,-6.28278867421526,-8.71770972727629,0.12497103150959243,0.1294352417847852
-0.05,0.0,0.0,1,6.26456504284741,7.59207498776321,-0.004568752294836003,5.716381843426399e-6
-0.05,0.0,0.0,2,6.264565042847412,6.485247208110798,-0.0038803397524769957,-0.0037323076021555995
-0.05,0.0,0.0,3,6.264565042847411,6.485247208110801,-0.008782860606266731,-0.009834181146809772
-0.05,0.0,0.0,4,6.264565042847412,6.485247208110799,-0.0007456891437636338,0.0009238260792855143
-0.05,0.0,0.0,5,6.264565042847411,6.4852472081108,0.0071273613772085635,0.00850368403005451
-0.05,0.0,0.0,6,6.264565042847412,6.485247208110799,-0.0008088279774468356,-0.0018996742445814448
-0.05,0.0,0.0,7,6.264565042847411,6.4852472081108,0.00023461169390705383,0.0002063901309663494
-0.05,0.0,0.0,8,6.264565042847412,6.485247208110799,0.0027678001323927924,0.0034253421872396973
-0.05,0.0,0.0,9,6.264565042847411,6.4852472081108,-0.006225557602431054,-0.007852683595957343
-0.05,0.0,0.0,10,6.264565042847412,6.485247208110799,0.0039946150758251074,0.006378431137080619
-0.05,0.0,0.0,11,6.264565042847411,6.4852472081108,0.005272069715238609,0.005701526986742164
-0.05,0.0,0.0,12,6.264565042847412,6.485247208110799,0.013313128575608027,0.015135576405529625
-0.05,0.0,0.0,13,6.264565042847411,6.4852472081108,0.020244112207139613,0.021272938595774914
-0.05,0.0,0.0,14,6.264565042847412,6.485247208110799,0.01914055762919699,0.01928584312634013
-0.05,0.0,0.0,15,6.264565042847411,6.4852472081108,0.017773719952877125,0.018175805623063684
-0.05,0.0,0.0,16,6.264565042847412,6.485247208110799,0.025744600733368136,0.026757167712039814
-0.05,0.0,0.0,17,6.264565042847411,6.4852472081108,0.034048869114525614,0.03616361216248518
-0.05,0.0,0.0,18,6.264565042847412,6.485247208110799,0.043908206950852804,0.04620750152695152
-0.05,0.0,0.0,19,6.264565042847411,6.4852472081108,0.05248264480644486,0.05456623825735228
