alpha1,alpha3,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.005,-0.01,0.03461882913377156,0.05638454793762727,0.06138479555210667,1950.6871948096534,1857.7475382218604,-92.93965658779331
-0.005,0.0,0.034474976308781456,0.05633561666370525,0.06122156385524568,1943.84076407941,1856.135359761704,-87.70540431770621
-0.005,0.01,0.03433626416571271,0.05628589744582977,0.06106290316434442,1937.1689705154463,1854.4972202715608,-82.67175024388551
-0.005,0.02,0.034201934621205875,0.056235407494411055,0.06090811470441322,1930.6440420541128,1852.8336867968083,-77.81035525730451
-0.005,0.03,0.03407135600309675,0.0561842433398693,0.06075665973454053,1924.2447722622371,1851.147939803673,-73.09683245856411
-0.005,0.04,0.03394410221787316,0.05613243709310742,0.06060816011854974,1917.95473132067,1849.4410372761777,-68.51369404449214
-0.005,0.05,0.03381977134938918,0.056080067285205766,0.0604622659383405,1911.7609922649476,1847.7155666416686,-64.04542562327893
-0.004,-0.01,0.03253090986358614,0.05404874941261085,0.06015642794722364,1875.4844825949435,1780.7880853513377,-94.69639724360567
-0.004,0.0,0.03238451965834196,0.05400059525156632,0.0599891666540959,1869.1644528502372,1779.201511060904,-89.96294178933313
-0.004,0.01,0.03224362640564942,0.05395161201974799,0.059826811010658655,1862.9916258812416,1777.5876207016993,-85.40400517954265
-0.004,0.02,0.032107361658357834,0.05390183688199422,0.05966857601027802,1856.9406496680908,1775.9476387738664,-80.99301089422437
-0.004,0.03,0.03197507658464702,0.05385134114562915,0.05951384280482756,1850.9927496442592,1774.283914697783,-76.70883494647589
-0.004,0.04,0.03184630958308576,0.05380021050634423,0.05936224353244172,1845.1336972750905,1772.5992719590613,-72.53442531602927
-0.004,0.05,0.03172060894278395,0.053748493973381134,0.05921339403480014,1839.3521238039082,1770.8953253050263,-68.4567984988816
-0.003,-0.01,0.030306016635543095,0.051560386467039754,0.05884827667079288,1795.2903792982654,1698.801968490902,-96.48841080736373
-0.003,0.0,0.030157063751966823,0.05151320204536576,0.05867684524209848,1789.5839330646559,1697.2473449918498,-92.3365880728059
-0.003,0.01,0.030013983146098544,0.05146514823468408,0.05851064090087121,1783.9899864526265,1695.6640770263987,-88.325909426228
-0.003,0.02,0.029875838148299232,0.05141629465059413,0.058348800665828926,1778.4874947883025,1694.0544582762966,-84.4330365120058
-0.003,0.03,0.02974192680406359,0.05136668906027263,0.0581906873591359,1773.0606724857996,1692.4200625655465,-80.64060992025296
-0.003,0.04,0.02961169622432577,0.0513164068448784,0.05803587831048205,1767.697904522634,1690.7633735384698,-76.93453098416406
-0.003,0.05,0.029484720297945764,0.05126556026655803,0.05788394367844405,1762.3899847564678,1689.0880899872716,-73.30189476919618
-0.002,-0.01,0.0279302069627131,0.04890401885879661,0.057452310698264585,1709.590753657693,1611.2804654315007,-98.3102882261923
-0.002,0.0,0.027778676673232756,0.04885804665135212,0.05727651596642922,1704.5992886046265,1609.7657817401266,-94.83350686449965
-0.002,0.01,0.027633439551949787,0.04881115855541119,0.05710630522990417,1699.6776526513293,1608.220921525897,-91.45673112543233
-0.002,0.02,0.02749348960639903,0.04876343548548017,0.05694074527387496,1694.8098304418834,1606.648550744831,-88.16127969705245
-0.002,0.03,0.027357994548486003,0.04871494220783733,0.056779141561868675,1689.9843719737887,1605.0508033041497,-84.93356866963856
-0.002,0.04,0.027226412507215268,0.04866578752039485,0.056621025321639616,1685.1931527374707,1603.431263857113,-81.7618888803579
-0.002,0.05,0.027098290592582022,0.04861602211321683,0.05646596180771722,1680.4302657736653,1601.79160253047,-78.63866324319527
-0.001,-0.01,0.025387600987449507,0.04606202054388873,0.0559594127611009,1617.7981449015365,1517.6428365727713,-100.15530832876523
-0.001,0.0,0.025233486519626404,0.04601754634214499,0.055779005990511075,1613.6409785328733,1516.1775088930103,-97.46346963986312
-0.001,0.01,0.025086168613096982,0.045972104237060635,0.055604624581348454,1609.5005522667532,1514.6802909150376,-94.82026135171583
-0.001,0.02,0.02494445449594676,0.045925803578551874,0.05543523139619071,1605.3679461429788,1513.1547854794371,-92.21316066354159
-0.001,0.03,0.024807522840545236,0.04587871249397351,0.0552700585066593,1601.2374566536519,1511.6032372335524,-89.63421942009964
-0.001,0.04,0.02467473747652945,0.0458309186808721,0.05510849085093485,1597.1048374578543,1510.0285356197414,-87.07630183811276
-0.001,0.05,0.024545577114052756,0.04578253984148275,0.05495020430059242,1592.9685061825928,1508.4345586692295,-84.53394751336324
0.0,-0.01,0.022659955327741458,0.043014271044954915,0.054359122560710606,1519.2384595434874,1417.2261561903288,-102.01230335315869
0.0,0.0,0.02250332673901331,0.042971588720082096,0.05417393198248418,1516.0558933152545,1415.8198669345247,-100.23602638072958
0.0,0.01,0.022353974015514873,0.04292792387893304,0.05399521428675213,1512.8244778221385,1414.3812059162392,-98.44327190589934
0.0,0.02,0.0222106399293773,0.042883378942628385,0.05382181350784272,1509.54435337826,1412.913547687397,-96.63080569086294
0.0,0.03,0.02207240101888848,0.042838013399824064,0.05365288251982594,1506.217194615509,1411.4188522691047,-94.79834234640416
0.0,0.04,0.021938544763765788,0.042791936207724555,0.053487846578388,1502.845069504203,1409.900709562956,-92.94435994124686
0.0,0.05,0.021808587634348904,0.04274525368507932,0.053326258106644216,1499.4304629678647,1408.3626225392175,-91.06784042864734
0.001,-0.01,0.019726351192615434,0.03973754318382926,0.0526393925751557,1413.1345849046168,1309.2651395628127,-103.86944534180405
0.001,0.0,0.019567251740400065,0.0396970801927839,0.05244914899780642,1411.092753306415,1307.93197250281,-103.16078080360512
0.001,0.01,0.019415997835159925,0.03965557424036119,0.05226591492457971,1408.920600642553,1306.564442146441,-102.35615849611199
0.001,0.02,0.019271206011951838,0.039613165279657275,0.05208839621842765,1406.6306786466355,1305.1671596421384,-101.4635190044971
0.001,0.03,0.019131857329608856,0.03956991488555102,0.0519156734003905,1404.2342570748385,1303.7421537474931,-100.4921033273453
0.001,0.04,0.018997188946850388,0.039525956947743225,0.05174703079221201,1401.740682694919,1302.2938358353222,-99.44684685959686
0.001,0.05,0.0188666174573758,0.03948140315303223,0.05158207417000643,1399.1585401709751,1300.8258857413646,-98.33265442961044
