alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
-0.005,0.0,1,0.013464073802781567,0.013474466782220243,-0.0016119475556586923,1.9444019386073857e-5
-0.005,0.0,2,0.01391989985745055,0.013930554346261663,-0.002159836382695989,-0.003628047446808362
-0.005,0.0,3,0.014377652933669683,0.014388570037813441,-0.003802357045879357,-0.009781149117063138
-0.005,0.0,4,0.014772734330230682,0.014783878095052484,-0.0029279791053400616,0.0007957307527190494
-0.005,0.0,5,0.014772751547018353,0.014783895321717576,-0.0002776824049067208,0.008904643438812497
-0.005,0.0,6,0.014772755949911006,0.014783899727136389,-0.0009811304996678331,-0.0018127599892611567
-0.005,0.0,7,0.014772745731824912,0.014783889503187942,-0.0008042557437489253,-9.122812402837229e-5
-0.005,0.0,8,0.014772700087964432,0.014783843833141231,0.0001255306201194985,0.003686639722311078
-0.005,0.0,9,0.01477275457959581,0.01478389835603491,-0.0017639264112091874,-0.00762689110394796
-0.005,0.0,10,0.014772748353104062,0.01478389212597088,-0.00034929899827838146,0.006066943704524169
-0.005,0.0,11,0.01477268547669412,0.014783829213488368,0.000779977788634285,0.005894351184784294
-0.005,0.0,12,0.01477275698933063,0.014783900767152131,0.003974346345024528,0.014782916764164999
-0.005,0.0,13,0.014772757901104914,0.014783901679449537,0.007972203469334235,0.021433118692904915
-0.005,0.0,14,0.01477275544228734,0.014783899219221271,0.01024571488857211,0.01942619768696443
-0.005,0.0,15,0.014772760452812192,0.014783904232620786,0.011421334661787616,0.018201524821749165
-0.005,0.0,16,0.015277152431035536,0.015288585584357412,0.015365272857791898,0.027172973005234913
-0.005,0.0,17,0.01578503195150725,0.015796756480056125,0.019757643642576157,0.0363866628900798
-0.005,0.0,18,0.01986742927449121,0.019881495961523166,0.02607724319907534,0.046058111709083326
-0.005,0.0,19,0.021711343287648538,0.021726467908400555,0.032067985928988324,0.054448325080729255
-0.005,0.0,20,0.024524424702723743,0.024541163379763767,0.03175296343224757,0.04047125673083545
-0.005,0.0,21,0.026996611759077985,0.02701476898322753,0.036493846558845626,0.04982503812886209
-0.005,0.0,22,0.030909065651868076,0.0309294680545386,0.0397829161469858,0.05783672526985862
-0.005,0.0,23,0.03248773140723186,0.032509039816367886,0.0451193176028545,0.06457259233733582
-0.005,0.0,24,0.03871456090636401,0.03873944349315452,0.05000662439262597,0.07386739767118075
-0.005,0.0,25,0.04762018979033976,0.04765018611588152,0.055842910580694044,0.07009395755647525
-0.005,0.0,26,0.05339810333184575,0.05343141894179716,0.05955152251330182,0.07558314835568365
-0.005,0.0,27,0.053398116958952975,0.053431432576734536,0.06614221137394524,0.09538653648673306
-0.005,0.0,28,0.05842808364712672,0.05846429002863118,0.07429561491603079,0.10345099524745932
-0.005,0.0,29,0.05842808365460227,0.058464290036111,0.07982548432653046,0.11143998274544732
-0.005,0.0,30,0.06437488349075414,0.06441450912235636,0.08464408120857476,0.11380758474033985
-0.005,0.0,31,0.06823266407108834,0.06827450882898088,0.09078194817203601,0.12879528083148384
-0.005,0.0,32,0.07617070624279211,0.07621711999775564,0.0944329910629158,0.14122117151789698
-0.005,0.0,33,0.08583310321680694,0.08588508409863935,0.09180052188868006,0.11942863973694418
-0.005,0.0,34,0.09968460193072402,0.09974457597195911,0.09189866918971236,0.11321593942942954
-0.005,0.0,35,0.11681761471237936,0.11688749920883713,0.10552810409479317,0.13880171493478954
-0.005,0.0,36,0.1264949542655712,0.1265704497374116,0.10798594106595454,0.13437442140874725
-0.005,0.0,37,0.13067283138845814,0.13075075243152753,0.11539988395654724,0.1405925978134692
-0.005,0.0,38,0.13846754942858827,0.1385500013719807,0.11369588530053712,0.11479428201059284
-0.005,0.0,39,0.1444911524206109,0.1445771108603684,0.11254860509488804,0.12140451330523014
-0.005,0.0,40,0.14449294635986196,0.1445789058446031,0.11014911096364026,0.112570801713189
-0.005,0.05,1,0.012657594091626072,0.013473250924970282,-0.0016119475556586923,1.9444019386073857e-5
-0.005,0.05,2,0.013848055171459537,0.013926742579415827,-0.002159836382695989,-0.003628047446808362
-0.005,0.05,3,0.014336156729513196,0.014378168090027078,-0.003802357045879357,-0.009781149117063138
-0.005,0.05,4,0.014715403334849874,0.01475191096168309,-0.0029279791053400616,0.0007957307527190494
-0.005,0.05,5,0.014734348688150458,0.014751904355332692,-0.0002776824049067208,0.008904643438812497
-0.005,0.05,6,0.014735299960087399,0.01475190913594681,-0.0009811304996678331,-0.0018127599892611567
-0.005,0.05,7,0.014735341948435059,0.014751903292219178,-0.0008042557437489253,-9.122812402837229e-5
-0.005,0.05,8,0.014735358184185294,0.014751918182209584,0.0001255306201194985,0.003686639722311078
-0.005,0.05,9,0.014735351807679669,0.014751910611795321,-0.0017639264112091874,-0.00762689110394796
-0.005,0.05,10,0.014735353239262132,0.01475191245518759,-0.00034929899827838146,0.006066943704524169
-0.005,0.05,11,0.014735336874691762,0.01475189514424938,0.000779977788634285,0.005894351184784294
-0.005,0.05,12,0.014735353102504345,0.014751913097092216,0.003974346345024528,0.014782916764164999
-0.005,0.05,13,0.014735406672561267,0.014751968664388534,0.007972203469334235,0.021433118692904915
-0.005,0.05,14,0.014736599057497501,0.014753221695886847,0.01024571488857211,0.01942619768696443
-0.005,0.05,15,0.014760560359727691,0.014778395608610473,0.011421334661787616,0.018201524821749165
-0.005,0.05,16,0.015246343172405929,0.015288773645737361,0.015365272857791898,0.027172973005234913
-0.005,0.05,17,0.015911610236242258,0.015963882821636303,0.019757643642576157,0.0363866628900798
-0.005,0.05,18,0.019698123652472532,0.01991692442630231,0.02607724319907534,0.046058111709083326
-0.005,0.05,19,0.02167182760200679,0.021796391645286337,0.032067985928988324,0.054448325080729255
-0.005,0.05,20,0.024412371780221903,0.024578926859086064,0.03175296343224757,0.04047125673083545
-0.005,0.05,21,0.02694268318484767,0.027099679805464662,0.036493846558845626,0.04982503812886209
-0.005,0.05,22,0.030662737619454247,0.030884567969896838,0.0397829161469858,0.05783672526985862
-0.005,0.05,23,0.03255246789083397,0.032679091369054204,0.0451193176028545,0.06457259233733582
-0.005,0.05,24,0.038626339403871675,0.03897680200591472,0.05000662439262597,0.07386739767118075
-0.005,0.05,25,0.04716105405428724,0.04764612882135041,0.055842910580694044,0.07009395755647525
-0.005,0.05,26,0.052776311907841135,0.05311108661633612,0.05955152251330182,0.07558314835568365
-0.005,0.05,27,0.05326515016622386,0.05333040560356491,0.06614221137394524,0.09538653648673306
-0.005,0.05,28,0.05781188972885287,0.0580934386642045,0.07429561491603079,0.10345099524745932
-0.005,0.05,29,0.05829151640856767,0.05835929381605559,0.07982548432653046,0.11143998274544732
-0.005,0.05,30,0.0638213350414996,0.06415822327863412,0.08464408120857476,0.11380758474033985
-0.005,0.05,31,0.06789605987448667,0.068158806497049,0.09078194817203601,0.12879528083148384
-0.005,0.05,32,0.07562690723872909,0.07608672066691678,0.0944329910629158,0.14122117151789698
-0.005,0.05,33,0.0852440132212969,0.08580888567485416,0.09180052188868006,0.11942863973694418
-0.005,0.05,34,0.0987999804049257,0.0995803342187147,0.09189866918971236,0.11321593942942954
-0.005,0.05,35,0.115166790211653,0.11610498889828454,0.10552810409479317,0.13880171493478954
-0.005,0.05,36,0.12478993159428509,0.1253790458920392,0.10798594106595454,0.13437442140874725
-0.005,0.05,37,0.1292920252866095,0.12961435127431883,0.11539988395654724,0.1405925978134692
-0.005,0.05,38,0.1367004062598427,0.13718021261066699,0.11369588530053712,0.11479428201059284
